64.233.177.91,10.47.240.163,443,51425,0,1137,53,21477,1,1
64.233.177.91,10.47.240.163,443,51425,0,200,53,22414,1,1
64.233.177.91,10.47.240.163,443,51425,0,1004,53,21610,1,1
64.233.177.91,10.47.240.163,443,51425,0,187,53,22427,1,1
10.47.240.163,64.233.177.91,51425,443,0,56,64,51892,1,1
10.47.240.163,64.233.177.91,51425,443,0,56,64,51891,1,1
10.47.240.163,64.233.177.91,51425,443,0,227,64,51719,1,1
64.233.177.91,10.47.240.163,443,51425,0,49,53,22565,1,1
64.233.177.91,10.47.240.163,443,51425,0,1378,53,21236,1,1
64.233.177.91,10.47.240.163,443,51425,0,1378,53,21236,1,1
64.233.177.91,10.47.240.163,443,51425,0,1378,53,21236,1,1
64.233.177.91,10.47.240.163,443,51425,0,1378,53,21236,1,1
64.233.177.91,10.47.240.163,443,51425,0,521,53,22093,1,1
64.233.177.91,10.47.240.163,443,51425,0,96,53,22518,1,1
10.47.240.163,64.233.177.91,51425,443,0,56,64,51889,1,1
10.47.240.163,64.233.177.91,51425,443,0,56,64,51888,1,1
10.47.240.163,64.233.177.91,51425,443,0,56,64,51887,1,1
10.47.240.163,64.233.177.91,51425,443,0,648,64,51294,1,1
64.233.177.91,10.47.240.163,443,51425,0,49,53,22565,1,1
10.47.240.163,40.136.3.77,51937,443,0,626,64,14225,1,2
40.136.3.77,10.47.240.163,443,51937,0,50,121,32227,1,2
40.136.3.77,10.47.240.163,443,51937,0,1378,121,30867,1,2
40.136.3.77,10.47.240.163,443,51937,0,1378,121,30866,1,2
40.136.3.77,10.47.240.163,443,51937,0,1378,121,30865,1,2
40.136.3.77,10.47.240.163,443,51937,0,1378,121,30864,1,2
40.136.3.77,10.47.240.163,443,51937,0,1378,121,30863,1,2
10.47.240.163,40.136.3.77,51937,443,0,57,64,14793,1,2
40.136.3.77,10.47.240.163,443,51937,0,1378,121,30862,1,2
40.136.3.77,10.47.240.163,443,51937,0,1378,121,30861,1,2
10.47.240.163,40.136.3.77,51937,443,0,57,64,14792,1,2
