10.47.231.184,208.80.154.224,54448,443,1,131,0,1
10.47.231.184,208.80.154.224,54448,443,1,90,0,1
208.80.154.224,10.47.231.184,443,54448,1,52,0,1
208.80.154.224,10.47.231.184,443,54448,1,1246,0,1
208.80.154.224,10.47.231.184,443,54448,1,1500,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
208.80.154.224,10.47.231.184,443,54448,1,90,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
208.80.154.224,10.47.231.184,443,54448,1,1373,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
208.80.154.224,10.47.231.184,443,54448,1,1373,0,1
208.80.154.224,10.47.231.184,443,54448,1,1500,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
208.80.154.224,10.47.231.184,443,54448,1,1352,0,1
208.80.154.224,10.47.231.184,443,54448,1,1500,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
208.80.154.224,10.47.231.184,443,54448,1,1373,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
208.80.154.224,10.47.231.184,443,54448,1,1500,0,1
208.80.154.224,10.47.231.184,443,54448,1,1500,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
208.80.154.224,10.47.231.184,443,54448,1,1500,0,1
208.80.154.224,10.47.231.184,443,54448,1,1500,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
10.47.231.184,208.80.154.224,54448,443,1,64,0,1
208.80.154.224,10.47.231.184,443,54448,1,1373,0,1
10.47.231.184,208.80.154.224,54448,443,1,52,0,1
10.47.231.184,208.80.154.224,54448,443,1,52,0,1
10.47.231.184,208.80.154.224,54448,443,1,204,0,1
10.47.231.184,208.80.154.224,54448,443,1,165,0,1
10.47.231.184,208.80.154.240,54449,443,1,158,0,2
10.47.231.184,208.80.154.240,54449,443,1,90,0,2
10.47.231.184,208.80.154.224,54448,443,1,153,0,1
10.47.231.184,208.80.154.240,54449,443,1,158,0,2
10.47.231.184,208.80.154.240,54449,443,1,172,0,2
10.47.231.184,208.80.154.240,54449,443,1,178,0,2
10.47.231.184,208.80.154.240,54449,443,1,159,0,2
10.47.231.184,239.255.255.250,50666,1900,0,202,0,3
10.47.231.184,208.80.154.224,54448,443,1,418,0,1
10.47.231.184,208.80.154.240,54449,443,1,655,0,2
10.47.231.184,208.80.154.224,54448,443,1,418,0,1
10.47.231.184,208.80.154.240,54449,443,1,655,0,2
10.47.231.184,208.80.154.224,54448,443,1,418,0,1
10.47.231.184,208.80.154.240,54449,443,1,655,0,2
10.47.231.184,239.255.255.250,50666,1900,0,202,0,3
